millis,id,ax,ay,az,gx,gy,gz,mx,my,mz
1,1,-0.180060,0.883550,9.904491,0.021686,0.037263,-0.018631,1.198480,35.194389,-1.096171
1,2,-0.183051,0.087338,9.769297,0.039401,0.025351,-0.072998,6.182403,33.016662,-57.088573
46,1,-0.197408,0.856032,10.023535,0.026420,0.040470,-0.018479,0.818474,35.501316,-1.271558
46,2,-0.160917,0.078963,9.765110,0.037263,0.020922,-0.071319,6.284712,32.870502,-58.140892
92,1,-0.218345,0.854836,9.869795,0.021838,0.041081,-0.019395,1.417714,36.159019,-1.534639
92,2,-0.183051,0.073579,9.844073,0.037110,0.022907,-0.072540,6.547793,32.636657,-57.965503
138,1,-0.201595,0.890728,10.022338,0.020159,0.034972,-0.019700,0.555393,36.188247,-1.710026
138,2,-0.153141,0.087936,9.772289,0.036041,0.022907,-0.069180,6.474715,32.373573,-57.848583
184,1,-0.204586,0.867398,9.973883,0.025045,0.037263,-0.020006,0.643087,35.457466,-1.739258
184,2,-0.154935,0.066401,9.805788,0.038332,0.022907,-0.074067,6.650102,32.315109,-57.702426
230,1,-0.170489,0.867398,9.987045,0.021075,0.040317,-0.023060,1.052324,35.764396,-1.563870
230,2,-0.151944,0.077767,9.790234,0.031765,0.024740,-0.071624,6.533177,32.841274,-57.424728
275,1,-0.210568,0.860818,9.964313,0.023518,0.037263,-0.018631,1.183864,35.399005,-1.666180
275,2,-0.163908,0.081356,9.798609,0.035125,0.020006,-0.068417,6.664718,33.352821,-56.840103
321,1,-0.203390,0.861416,9.984053,0.019548,0.038026,-0.021075,0.774627,35.282081,-1.446945
321,2,-0.150150,0.078365,9.811171,0.032529,0.026573,-0.072846,6.708565,32.388191,-57.819347
367,1,-0.209372,0.845265,9.961919,0.021838,0.037874,-0.016799,0.789243,35.647472,-0.438468
367,2,-0.162712,0.088534,9.775279,0.041844,0.022755,-0.073151,6.825489,32.943580,-57.527042
413,1,-0.181855,0.853639,10.001400,0.023518,0.039859,-0.021533,1.066940,35.559776,-1.110786
413,2,-0.166899,0.098106,9.815359,0.035125,0.023366,-0.072388,6.679334,33.031280,-57.717044
458,1,-0.214756,0.856032,9.989438,0.018326,0.037721,-0.020159,0.555393,35.267467,-1.768489
458,2,-0.163908,0.081954,9.801002,0.037415,0.023824,-0.067653,6.445484,33.206665,-57.527042
505,1,-0.183649,0.850648,9.988241,0.024435,0.038637,-0.020617,0.789243,35.472084,-1.929260
505,2,-0.176471,0.072383,9.807582,0.031154,0.025809,-0.070708,7.000877,33.513595,-58.696289
551,1,-0.177069,0.862613,10.004991,0.028100,0.040164,-0.019853,1.008477,35.559776,-1.636948
551,2,-0.161516,0.074776,9.790234,0.035736,0.025198,-0.072388,7.015493,32.987430,-57.848583
597,1,-0.208774,0.852443,9.991232,0.022449,0.038485,-0.022602,0.672318,35.442852,-1.695411
597,2,-0.184846,0.075374,9.809975,0.034361,0.024740,-0.072998,6.840106,32.622039,-58.783985
643,1,-0.192622,0.854836,9.988241,0.019700,0.038332,-0.021838,1.417714,35.705932,-2.016954
643,2,-0.162114,0.071785,9.657433,0.037874,0.026878,-0.072235,6.591639,32.870502,-57.877815
688,1,-0.202792,0.859622,9.991232,0.018937,0.039401,-0.019242,1.110786,35.969017,-1.622333
688,2,-0.178265,0.083151,9.803395,0.034972,0.021838,-0.071013,6.372406,32.987430,-58.067817
734,1,-0.206979,0.865604,9.990633,0.024893,0.037568,-0.019090,1.578486,35.486701,-1.841567
734,2,-0.183051,0.080758,9.795619,0.034208,0.025656,-0.072540,6.328559,32.797428,-58.827827
780,1,-0.196211,0.871586,9.979267,0.024740,0.039401,-0.017562,0.803858,35.691318,-1.505408
780,2,-0.176471,0.090927,9.824333,0.040164,0.021838,-0.071929,6.562409,33.206665,-57.907043
826,1,-0.185444,0.864407,10.006187,0.023060,0.038637,-0.016799,1.593101,35.355159,-1.388483
826,2,-0.153141,0.080758,9.799806,0.036194,0.024587,-0.069639,6.372406,33.104354,-57.030105
871,1,-0.215952,0.862613,10.004991,0.024435,0.034819,-0.018173,1.183864,35.559776,-0.920783
871,2,-0.166899,0.069392,9.823137,0.035736,0.026114,-0.071929,6.913184,33.133586,-57.921661
917,1,-0.196211,0.882353,10.027124,0.021380,0.038026,-0.019700,1.242327,35.632854,-1.753873
917,2,-0.166899,0.100499,9.783655,0.037263,0.023976,-0.069486,6.372406,32.972816,-57.760887
963,1,-0.184247,0.847059,9.989438,0.021991,0.039401,-0.020159,1.154633,35.355159,-2.060801
963,2,-0.171087,0.084347,9.789636,0.038943,0.021380,-0.072998,6.474715,32.841274,-57.994739
1009,1,-0.202792,0.879362,9.988241,0.020159,0.042302,-0.018021,1.797720,35.749782,-1.973107
1009,2,-0.165105,0.081356,9.823137,0.038026,0.024587,-0.072082,6.796259,32.665885,-58.301662
1055,1,-0.215354,0.843470,9.966107,0.022449,0.041692,-0.021380,1.052324,35.033615,-2.192341
1055,2,-0.027517,0.062213,9.829117,0.037110,0.022144,-0.073304,6.971645,33.089740,-57.410114
1101,1,-0.184846,0.866800,10.003195,0.019242,0.040164,-0.020617,1.461561,35.705932,-1.768489
1101,2,-0.170489,0.077767,9.783655,0.036346,0.023060,-0.071471,6.664718,32.519729,-57.907043
1147,1,-0.197408,0.870389,9.973883,0.018784,0.036194,-0.021075,1.300789,35.822860,-2.177726
1147,2,-0.155533,0.075374,9.824930,0.035277,0.027642,-0.073304,6.883952,33.002044,-58.257820
1193,1,-0.192622,0.863211,9.992428,0.019853,0.038026,-0.017868,1.271558,35.881320,-1.870798
1193,2,-0.144168,0.072981,9.813565,0.033292,0.023518,-0.073304,6.284712,32.680503,-58.316284
1239,1,-0.203988,0.873978,10.013365,0.024129,0.035583,-0.021533,1.622333,35.179771,-1.783104
1239,2,-0.173480,0.089731,9.811171,0.034514,0.027489,-0.071319,6.489330,32.665885,-58.067817
1285,1,-0.214756,0.875175,9.974482,0.016188,0.036805,-0.021533,0.950015,35.515930,-2.586963
1285,2,-0.306281,0.102293,9.778868,0.029932,0.029780,-0.073304,6.591639,32.461269,-58.272434
1330,1,-0.199801,0.842872,10.014561,0.016188,0.043982,-0.021838,1.096171,34.872844,-2.411576
1330,2,-0.153739,0.098106,9.782458,0.020769,0.034361,-0.072540,6.679334,32.724349,-58.316284
1376,1,-0.207577,0.818345,9.768699,0.004276,0.038179,-0.019853,0.789243,34.960536,-2.484653
1376,2,-0.167498,0.083749,9.789636,0.016799,0.025351,-0.070708,6.065478,32.534347,-58.681671
1422,1,-0.200997,0.867996,9.992428,0.018326,0.037415,-0.021991,1.315405,35.033615,-2.221573
1422,2,-0.158525,0.115454,9.788440,0.027489,0.018479,-0.068722,6.430868,32.417423,-58.623207
1468,1,-0.212363,0.904487,9.974482,0.010232,0.039248,-0.019395,0.672318,35.501316,-1.373867
1468,2,-0.160319,0.089731,9.798011,0.031612,0.026573,-0.075289,7.147033,32.461269,-57.556270
1514,1,-0.209970,0.917647,9.963115,0.023976,0.033903,-0.018173,0.613856,35.472084,-2.133879
1514,2,-0.159721,0.093918,9.836894,0.035888,0.021991,-0.071929,6.650102,32.885124,-58.389358
1559,1,-0.189631,0.880559,9.973883,0.023976,0.033750,-0.017257,1.169249,35.603626,-2.002338
1559,2,-0.141177,0.102891,9.783056,0.038943,0.019548,-0.072998,7.059340,32.914352,-58.593975
1605,1,-0.186640,0.876970,9.972687,0.020006,0.038026,-0.019090,0.876937,35.282081,-1.841567
1605,2,-0.175872,0.133400,9.806983,0.032834,0.022602,-0.072388,6.635486,32.622039,-58.082431
1651,1,-0.200399,0.888934,9.961919,0.020464,0.037568,-0.018784,1.183864,35.691318,-1.783104
1651,2,-0.157926,0.096311,9.803993,0.032070,0.023213,-0.073457,6.577024,32.475883,-58.228588
1698,1,-0.211765,0.900300,9.894322,0.018326,0.038485,-0.019395,1.052324,35.033615,-2.075417
1698,2,-0.160917,0.133998,9.804592,0.040623,0.025656,-0.068264,6.752411,32.855888,-58.053199
1743,1,-0.195613,0.921835,9.924232,0.041539,0.041233,-0.021686,0.993861,35.413623,-1.520023
1743,2,-0.196810,0.093918,9.801600,0.036041,0.022144,-0.072693,6.401637,33.265125,-58.111660
1789,1,-0.208176,0.822533,10.007981,0.129503,0.038943,-0.027794,0.803858,36.202865,-1.213096
1789,2,-0.146560,0.122632,9.818350,0.038485,0.026573,-0.071929,7.220111,33.104354,-58.360130
1835,1,-0.184846,0.786641,9.998410,0.021228,0.039706,-0.018479,0.760012,35.603626,-1.622333
1835,2,-0.148953,0.102891,9.804592,0.038179,0.020922,-0.071013,6.957030,32.519729,-57.921661
1881,1,-0.205783,0.920638,9.753146,0.142790,0.039095,-0.033750,1.213096,35.413623,-2.353113
1881,2,-0.187837,0.136989,9.778270,0.036041,0.023976,-0.072540,6.620871,32.095878,-57.921661
1927,1,-0.178265,0.580259,10.097712,0.388510,0.050091,-0.104458,0.847705,36.670566,-2.470038
1927,2,-0.156730,0.072383,9.801600,0.036499,0.021838,-0.072388,6.664718,32.636657,-58.126277
1972,1,-0.108275,0.377468,10.253844,0.133321,0.044593,-0.053756,1.198480,37.430576,-2.250804
1972,2,-0.150150,0.112463,9.815359,0.036805,0.026114,-0.073762,6.182403,32.855888,-58.287048
2018,1,-0.236291,0.658624,9.909874,-0.127213,0.028863,0.016646,0.789243,37.196723,-2.031570
2018,2,-0.151346,0.095115,9.803395,0.038332,0.025351,-0.070860,6.796259,32.826660,-58.287048
2064,1,-0.176471,0.539581,10.066606,0.044135,0.041692,-0.034514,0.716165,37.562118,-2.075417
2064,2,-0.170489,0.103490,9.813565,0.033139,0.024893,-0.073762,7.161649,32.534347,-58.477054
