millis,id,ax,ay,az,gx,gy,gz,mx,my,mz
2796,2,-0.125623,0.455235,10.110872,0.020464,0.037721,-0.017715,4.79392,39.199062,0.935399
2842,2,0.04666,0.205783,9.956535,0.030391,0.037874,-0.020464,5.100848,39.228294,1.183864
2888,2,-0.126221,0.430708,10.147364,0.0197,0.039706,-0.018173,4.603917,39.389068,0.760012
2933,2,-0.085543,0.385244,10.035499,0.025045,0.036957,-0.018631,5.247004,39.125988,0.204619
2979,2,-0.064606,0.425922,9.708879,-0.001527,0.04215,-0.015119,4.413914,39.359836,0.83309
3025,2,-0.048455,0.53659,9.886546,0.023976,0.03879,-0.017715,4.940076,38.906753,0.83309
3070,2,-0.214756,0.525823,11.054841,0.074678,0.039859,-0.021228,4.896229,39.27214,1.008477
3116,2,-0.115454,0.284148,10.279566,0.022907,0.040164,-0.019395,4.808536,39.242912,0.847705
3162,2,0.0,0.0,0.0,0.030238,0.004887,-0.018784,4.311605,38.877521,1.242327
3207,2,-0.085543,0.411566,9.899108,0.036805,0.04047,-0.022602,3.741596,31.131246,0.0
3253,2,-0.220738,0.439681,10.184452,0.009621,0.036805,-0.020311,4.486992,38.760597,1.636948
3298,2,-0.100499,0.434297,10.006785,0.009927,0.035583,-0.016646,4.033908,30.882781,0.131541
3344,2,0.0,0.0,0.0,0.025351,0.005192,-0.020922,3.814674,29.932767,0.0
3389,2,0.0,0.0,0.0,0.032376,0.00733,-0.016035,4.881614,39.593685,0.453084
3434,2,0.0,0.0,0.0,0.021991,0.00733,-0.018479,4.79392,39.184448,1.286174
3481,2,-0.07657,0.4002,10.213166,0.038179,0.037721,-0.020311,3.975446,31.116632,0.131541
3526,2,-0.142373,0.521037,9.910473,0.007789,0.039095,-0.014966,4.472376,39.155216,0.672318
3572,2,-0.120838,0.641276,9.747762,0.025656,0.036499,-0.01909,4.516223,38.804443,1.607717
3618,2,0.0,0.0,0.0,0.003054,0.0,-0.020922,3.814674,30.882781,0.116925
3663,2,0.0,0.0,0.0,0.029322,0.00733,-0.021228,3.756212,31.102016,0.0
3708,2,0.0,0.0,0.0,0.007941,0.00733,-0.018937,3.990061,31.116632,0.131541
3754,2,0.0,0.0,0.0,0.000916,0.00733,-0.01909,5.173926,39.038291,0.789243
3799,2,-0.110668,0.422333,9.915857,0.00168,0.03146,-0.017104,4.033908,29.932767,0.116925
