millis,id,ax,ay,az,gx,gy,gz,mx,my,mz
1376,2,-0.099900,0.356531,10.006187,0.024129,0.038026,-0.016952,4.954691,39.637531,1.344636
1422,1,-0.117847,0.352343,10.000803,0.019090,0.036957,-0.017410,4.516223,38.965217,0.701549
1422,2,-0.105284,0.372682,9.991232,0.021838,0.037263,-0.016341,4.603917,39.125988,0.584624
1468,1,-0.121436,0.360120,10.010374,0.023824,0.037110,-0.018784,4.881614,39.111370,0.643087
1468,2,-0.132802,0.354138,9.998410,0.018937,0.036041,-0.018326,4.866998,38.906753,0.818474
1513,1,-0.099302,0.343370,10.002597,0.021838,0.037568,-0.018631,4.940076,39.403682,1.520023
1513,2,-0.110070,0.346361,10.016356,0.023976,0.037415,-0.020006,4.443145,39.228294,0.935399
1559,1,-0.128016,0.369093,10.004991,0.021991,0.036652,-0.023213,4.428530,39.082138,0.920783
1559,2,-0.117847,0.354138,9.996616,0.024740,0.037721,-0.022449,4.267758,39.125988,0.672318
1605,1,-0.123230,0.364905,10.030115,0.025198,0.039095,-0.017104,4.136218,38.892139,0.555393
1605,2,-0.125025,0.366700,9.996616,0.024893,0.040623,-0.020311,4.764689,39.023677,0.613856
1651,1,-0.111266,0.350549,10.030713,0.021533,0.036346,-0.020922,4.545454,38.921367,1.140017
1651,2,-0.119641,0.361316,9.999606,0.027947,0.039248,-0.017562,4.530839,39.052909,1.271558
1696,1,-0.114855,0.333201,10.019945,0.023366,0.040775,-0.020617,4.121602,39.286758,1.300789
1696,2,-0.103490,0.364905,10.045669,0.018784,0.037568,-0.019242,4.384683,39.184448,0.102309
1742,1,-0.132203,0.372084,10.044471,0.025962,0.040775,-0.019242,4.121602,39.462146,0.277697
1742,2,-0.119641,0.363111,10.034900,0.027489,0.039248,-0.018479,4.209296,39.783687,0.993861
1788,1,-0.114855,0.360718,10.036098,0.023671,0.037568,-0.018021,4.486992,39.315990,1.271558
1788,2,-0.147757,0.378066,10.015160,0.026725,0.037874,-0.021380,4.267758,39.622917,0.394621
1834,1,-0.124427,0.361316,10.027723,0.022297,0.038790,-0.018784,4.662379,39.491374,1.081555
1834,2,-0.105284,0.367896,9.999606,0.027794,0.040928,-0.016646,4.793920,39.111370,0.423853
1879,1,-0.135194,0.363111,9.996017,0.019853,0.036957,-0.018784,4.618533,39.199062,0.789243
1879,2,-0.110070,0.363709,10.021739,0.022602,0.037874,-0.019242,4.764689,39.096755,1.198480
1925,1,-0.121436,0.361316,9.991829,0.021838,0.037263,-0.021686,4.706226,39.432914,0.833090
1925,2,-0.128614,0.367298,10.013365,0.020006,0.040623,-0.018937,4.501607,39.228294,0.993861
1971,1,-0.145962,0.360120,10.028919,0.026267,0.039248,-0.018173,4.793920,39.023677,0.686934
1971,2,-0.128016,0.351147,10.027723,0.023060,0.038179,-0.021991,4.808536,39.315990,1.008477
2018,1,-0.111864,0.372084,10.030713,0.029780,0.038332,-0.018631,4.720842,38.687519,0.891552
2018,2,-0.131007,0.369691,9.994821,0.022755,0.039401,-0.016952,4.662379,39.228294,0.350775
2063,1,-0.121436,0.368495,9.997812,0.023518,0.039554,-0.017257,4.384683,38.833675,1.081555
2063,2,-0.120838,0.333799,9.997213,0.022144,0.038943,-0.020769,4.209296,39.403682,1.344636
2109,1,-0.120239,0.356531,10.016356,0.025045,0.037874,-0.019395,4.793920,39.140602,0.950015
2109,2,-0.122632,0.351745,9.996017,0.024435,0.036346,-0.017868,4.574686,39.549839,0.950015
2155,1,-0.133400,0.373879,10.013963,0.022602,0.037415,-0.021075,4.194680,39.023677,1.724642
2155,2,-0.107079,0.375673,10.070195,0.026420,0.041539,-0.016341,4.501607,39.286758,1.242327
2201,1,-0.095115,0.349950,10.001400,0.025198,0.040012,-0.019853,4.501607,39.257526,0.745396
2201,2,-0.129811,0.372682,10.007383,0.024282,0.034514,-0.018173,4.150833,39.359836,0.964630
2246,1,-0.123230,0.365504,10.012767,0.025198,0.039706,-0.021075,4.545454,39.272140,0.745396
2246,2,-0.115454,0.355334,9.997213,0.021686,0.037874,-0.020617,4.881614,38.979831,0.453084
2292,1,-0.116650,0.357727,10.004392,0.028405,0.036652,-0.018784,4.954691,39.242912,0.803858
2292,2,-0.126221,0.373879,10.040883,0.023824,0.036805,-0.016952,4.530839,38.892139,1.066940
2338,1,-0.116650,0.345763,10.006187,0.020617,0.041081,-0.019090,4.954691,38.950599,1.213096
2338,2,-0.148953,0.360120,10.037892,0.021228,0.038943,-0.018784,4.647764,39.213680,0.672318
2384,1,-0.127418,0.365504,10.016356,0.023518,0.036194,-0.018326,4.136218,38.965217,0.686934
2384,2,-0.107079,0.380459,10.012168,0.025504,0.037568,-0.020311,4.589301,39.242912,1.183864
2429,1,-0.135793,0.360120,10.026526,0.024893,0.041233,-0.018173,4.165449,39.389068,0.716165
2429,2,-0.131605,0.378664,9.999008,0.025962,0.041997,-0.019242,4.633148,39.140602,-0.073078
2475,1,-0.114855,0.368495,10.015757,0.023213,0.039706,-0.017257,4.603917,39.505992,-0.058462
2475,2,-0.122034,0.354736,10.017552,0.029627,0.037568,-0.018631,4.121602,39.067523,0.219234
2521,1,-0.124427,0.373280,10.024731,0.024893,0.038179,-0.021228,3.785443,39.491374,-0.102309
2521,2,-0.120838,0.348754,10.006785,0.022602,0.038485,-0.019548,3.639287,39.286758,0.482315
2567,1,-0.116052,0.367298,10.001400,0.020006,0.040317,-0.019853,4.048524,39.491374,0.482315
2567,2,-0.135793,0.354138,9.987045,0.022144,0.041081,-0.018631,4.691610,38.833675,-0.233850
2614,1,-0.145364,0.354736,10.021142,0.028253,0.037874,-0.020769,4.706226,38.935981,0.935399
2614,2,-0.128614,0.340379,10.028320,0.025504,0.039554,-0.021380,4.472376,39.491374,0.964630
2659,1,-0.120838,0.345165,10.007383,0.021380,0.039706,-0.020006,4.209296,38.950599,0.116925
2659,2,-0.116052,0.321835,9.997812,0.027642,0.039706,-0.018784,4.910845,39.052909,0.643087
2705,1,-0.126221,0.350549,10.006785,0.023366,0.040164,-0.019395,5.057001,39.476760,0.803858
2705,2,-0.111864,0.360718,10.009776,0.025045,0.037568,-0.019090,4.764689,39.725227,-0.321543
2751,1,-0.113061,0.351745,10.014561,0.027031,0.040775,-0.018784,4.486992,39.213680,0.029231
2751,2,-0.133998,0.355932,9.999606,0.024587,0.038485,-0.021380,4.691610,39.637531,0.438468
2797,1,-0.130409,0.369093,10.018749,0.025198,0.036499,-0.020311,4.823151,39.462146,0.613856
2797,2,-0.112463,0.367896,10.015757,0.021991,0.039859,-0.017715,4.910845,39.359836,0.365390
2842,1,-0.117847,0.351745,9.996616,0.026267,0.037874,-0.019700,4.750073,38.877521,0.847705
2842,2,-0.137587,0.365504,10.012767,0.023060,0.039554,-0.019548,5.276235,38.862903,0.833090
2888,1,-0.115454,0.382852,9.997812,0.026420,0.036346,-0.017562,5.495469,39.520610,0.672318
2888,2,-0.130409,0.375075,9.983454,0.021838,0.039859,-0.017868,5.144694,39.272140,0.409237
2934,1,-0.115454,0.366700,10.009776,0.027489,0.038485,-0.020006,4.560070,38.950599,1.023093
2934,2,-0.136989,0.348156,10.023535,0.025656,0.032987,-0.016646,4.866998,39.418296,0.131541
2979,1,-0.131605,0.368495,10.012767,0.028558,0.036957,-0.020006,4.910845,38.979831,0.175387
2979,2,-0.131007,0.371486,9.992428,0.025962,0.040928,-0.017257,5.071617,38.716747,0.116925
3025,1,-0.128614,0.350549,10.012767,0.025504,0.040928,-0.022297,4.501607,38.687519,0.686934
3025,2,-0.101695,0.352941,10.003793,0.022755,0.038026,-0.017868,5.159310,38.643669,1.052324
3071,1,-0.130409,0.353540,9.985250,0.024129,0.037874,-0.022602,4.983923,38.848289,1.110786
3071,2,-0.114257,0.368495,9.996616,0.020311,0.038485,-0.018479,5.013154,38.614440,0.613856
3117,1,-0.123829,0.361914,9.999606,0.021228,0.038943,-0.019242,5.071617,38.482898,0.321543
3117,2,-0.098704,0.367298,10.002597,0.020159,0.038637,-0.018326,5.203157,39.184448,0.833090
3162,1,-0.123230,0.369691,10.005588,0.022449,0.038637,-0.018937,4.940076,39.140602,1.432330
3162,2,-0.119043,0.352343,10.026526,0.021686,0.039095,-0.020617,4.706226,38.979831,0.686934
3208,1,-0.102293,0.371486,10.021142,0.024282,0.037568,-0.019090,4.866998,39.242912,0.628471
3208,2,-0.122632,0.367298,9.997213,0.019700,0.041539,-0.019090,4.764689,39.082138,0.789243
3255,1,-0.107677,0.366700,10.018151,0.022449,0.038332,-0.020922,4.866998,39.125988,0.833090
3255,2,-0.105284,0.339781,10.001999,0.022755,0.040317,-0.022449,4.618533,38.702133,0.920783
3301,1,-0.096311,0.356531,10.019945,0.018631,0.038179,-0.019548,4.823151,38.789825,1.110786
3301,2,-0.148355,0.353540,10.017552,0.025198,0.035888,-0.020464,4.940076,38.702133,0.950015
3346,1,-0.138186,0.357129,10.021739,0.024740,0.038790,-0.018021,4.866998,38.775211,0.730780
3346,2,-0.114855,0.366102,9.996616,0.018021,0.036346,-0.019242,4.925460,39.067523,0.570009
3392,1,-0.119043,0.358923,10.006187,0.024740,0.033598,-0.016035,4.530839,39.213680,0.628471
3392,2,-0.111864,0.367298,10.003793,0.023976,0.040164,-0.017715,4.720842,39.023677,0.657702
3438,1,-0.120838,0.360120,10.004991,0.024893,0.035736,-0.019548,4.925460,38.877521,0.906168
3438,2,-0.108275,0.363111,10.022936,0.020769,0.040012,-0.018937,4.618533,39.009059,0.643087
3484,1,-0.111864,0.345763,10.003195,0.019853,0.038026,-0.019090,4.311605,39.389068,0.876937
3484,2,-0.113061,0.348156,10.026526,0.019090,0.040012,-0.020617,4.940076,39.315990,0.803858
3530,1,-0.122632,0.349950,10.010972,0.023824,0.034819,-0.018784,5.013154,39.052909,0.891552
3530,2,-0.105284,0.358923,9.991829,0.024740,0.037415,-0.018937,4.735457,38.950599,1.286174
3575,1,-0.114257,0.345763,10.015160,0.022144,0.036652,-0.018021,5.261620,39.315990,0.701549
3575,2,-0.125025,0.363111,9.999008,0.023824,0.037874,-0.019242,4.881614,39.257526,0.482315
3621,1,-0.120838,0.355932,10.016955,0.023824,0.038026,-0.020311,5.071617,38.979831,0.789243
3621,2,-0.131605,0.366700,9.997812,0.023366,0.035888,-0.020922,4.706226,38.935981,1.169249
3667,1,-0.128016,0.352343,10.036695,0.023824,0.038485,-0.020311,4.296989,39.389068,0.599240
3667,2,-0.126221,0.366700,10.018151,0.027336,0.038790,-0.019853,4.296989,39.213680,0.862321
3712,1,-0.095713,0.350549,10.010374,0.019395,0.041386,-0.020922,4.472376,39.023677,0.818474
3712,2,-0.111266,0.351745,9.994821,0.018479,0.039401,-0.019090,4.676995,39.111370,0.818474
3758,1,-0.114257,0.363111,10.000803,0.020464,0.038026,-0.017257,4.180064,38.819061,0.891552
3758,2,-0.119641,0.363111,10.010972,0.024893,0.038179,-0.017257,4.881614,39.301376,0.336159
3804,1,-0.139382,0.350549,10.000205,0.027336,0.040470,-0.016341,4.925460,39.242912,1.242327
3804,2,-0.120239,0.379262,10.018749,0.017868,0.037415,-0.015119,4.560070,39.009059,0.263081
3851,1,-0.106481,0.367298,10.016955,0.023976,0.038026,-0.021380,4.574686,39.169834,0.570009
3851,2,-0.133400,0.354736,10.004991,0.022144,0.036194,-0.021075,4.983923,39.345218,0.555393
3897,1,-0.135194,0.351745,10.028919,0.024587,0.040623,-0.020769,4.530839,38.994445,0.657702
3897,2,-0.135194,0.358325,10.011570,0.025809,0.040623,-0.021380,4.823151,39.009059,1.739258
3942,1,-0.144168,0.363709,10.011570,0.019700,0.040012,-0.018021,4.852383,38.892139,1.461561
3942,2,-0.125623,0.349352,10.034900,0.024435,0.041539,-0.020464,4.457761,38.950599,0.686934
3988,1,-0.118445,0.359522,10.036695,0.023060,0.041844,-0.019090,4.560070,39.125988,1.359252
3988,2,-0.125623,0.367298,10.005588,0.022297,0.042455,-0.019090,4.618533,39.023677,0.891552
4034,1,-0.116052,0.351147,10.011570,0.022144,0.039554,-0.018326,4.793920,39.096755,0.453084
4034,2,-0.103490,0.363111,9.998410,0.022755,0.039706,-0.018173,4.501607,39.009059,0.496931
4080,1,-0.124427,0.370289,9.995420,0.022449,0.041386,-0.020464,4.750073,39.330604,0.803858
4080,2,-0.112463,0.353540,10.000205,0.018937,0.037415,-0.018326,4.516223,39.038291,0.745396
4125,1,-0.099302,0.352941,10.019945,0.019853,0.036805,-0.018937,4.998538,39.286758,0.540777
4125,2,-0.115454,0.355932,10.033106,0.024587,0.040012,-0.021380,4.589301,39.199062,0.219234
4171,1,-0.120239,0.354736,10.030115,0.023518,0.039706,-0.019853,4.866998,39.520610,1.110786
4171,2,-0.126221,0.368495,10.020544,0.022144,0.040164,-0.021228,5.100848,39.301376,1.154633
4217,1,-0.124427,0.366700,10.026526,0.027947,0.041081,-0.021991,4.823151,39.491374,1.169249
4217,2,-0.107677,0.356531,10.007981,0.021838,0.038943,-0.017410,4.530839,39.374454,1.081555
4263,1,-0.138784,0.359522,10.022338,0.023671,0.040470,-0.020311,4.618533,39.038291,1.549255
4263,2,-0.123829,0.348754,10.040883,0.024129,0.035888,-0.018326,4.954691,38.848289,0.453084
