millis,id,ax,ay,az,gx,gy,gz,mx,my,mz
1,1,-0.114855,0.329611,9.999606,0.025809,0.040164,-0.021380,-1.344636,38.102893,-5.948553
1,2,-0.142373,0.309272,9.988839,0.019090,0.037721,-0.018479,-1.549255,38.059047,-5.904706
47,1,-0.156730,0.312263,9.930812,0.022449,0.036805,-0.019548,-1.622333,38.059047,-5.276235
47,2,-0.117847,0.309272,10.016356,0.019853,0.038179,-0.018937,-2.002338,38.015201,-5.130079
93,1,-0.117847,0.330210,10.049856,0.025198,0.038943,-0.018784,-1.256942,37.898273,-4.866998
93,2,-0.101097,0.351147,9.947563,0.020006,0.038026,-0.019242,-1.169249,37.854427,-5.159310
138,1,-0.156730,0.337986,9.998410,0.023518,0.040928,-0.018479,-1.958492,37.825195,-5.422391
138,2,-0.144168,0.343968,10.033106,0.023671,0.040928,-0.021075,-1.900029,38.000583,-5.495469
184,1,-0.107079,0.313460,10.030115,0.022144,0.040623,-0.018326,-1.432330,38.117511,-5.203157
184,2,-0.145364,0.326620,10.029517,0.024435,0.038026,-0.019242,-1.432330,38.161354,-5.290851
230,1,-0.152542,0.337986,10.010374,0.023824,0.041997,-0.017868,-1.432330,38.526744,-5.217772
230,2,-0.151346,0.323629,9.998410,0.028405,0.039095,-0.018021,-1.037708,38.059047,-5.378544
276,1,-0.108275,0.339781,10.034900,0.030696,0.035736,-0.019395,-1.344636,38.263668,-4.691610
276,2,-0.138186,0.351745,10.020544,0.029322,0.041997,-0.019853,-1.344636,38.190589,-5.553932
322,1,-0.154337,0.316451,10.034900,0.032681,0.038179,-0.020159,-1.578486,38.117511,-5.495469
322,2,-0.138784,0.323031,9.970891,0.029780,0.040928,-0.017410,-1.812336,37.869045,-5.933938
369,1,-0.099900,0.315254,9.995420,0.025045,0.038790,-0.021991,-1.403099,37.912891,-5.320082
369,2,-0.144168,0.314058,10.071392,0.022449,0.040317,-0.019242,-1.578486,37.883659,-5.597778
415,1,-0.128016,0.334995,10.022338,0.025351,0.042302,-0.019090,-1.373867,38.059047,-5.276235
415,2,-0.303290,0.329013,9.994821,0.022144,0.033292,-0.018784,-1.826951,37.942123,-5.612394
461,1,-0.139980,0.336790,10.003195,0.028863,0.041539,-0.017562,-1.461561,38.146739,-5.276235
461,2,-0.135194,0.324227,10.018151,0.023824,0.037263,-0.017257,-1.432330,38.161354,-5.159310
507,1,-0.133998,0.339781,9.977473,0.028100,0.038026,-0.017715,-1.680795,37.971351,-5.977784
507,2,-0.129811,0.351147,10.002597,0.024282,0.040164,-0.017868,-1.359252,37.722888,-6.007015
552,1,-0.115454,0.334397,10.024731,0.023213,0.036652,-0.017715,-1.446945,38.146739,-6.693949
552,2,-0.133400,0.326620,10.015160,0.017868,0.034819,-0.017868,-1.520023,37.708274,-6.313943
598,1,-0.163908,0.354736,9.995420,0.021991,0.039554,-0.017715,-2.031570,38.015201,-5.992400
598,2,-0.152542,0.312862,10.036695,0.029627,0.042608,-0.019090,-1.607717,37.898273,-5.802397
644,1,-0.141775,0.345165,9.985250,0.023976,0.041844,-0.018631,-1.417714,37.898273,-7.410114
644,2,-0.136989,0.343370,9.998410,0.023213,0.041081,-0.020922,-1.271558,37.839813,-6.518562
690,1,-0.136391,0.320638,10.009776,0.025656,0.041081,-0.020922,-1.724642,38.088275,-6.825489
690,2,-0.155533,0.330210,10.016356,0.024129,0.040928,-0.019090,-1.753873,37.985969,-6.752411
736,1,-0.110668,0.315254,10.012168,0.020159,0.039706,-0.019853,-1.885414,38.029815,-6.387022
736,2,-0.134596,0.333201,10.010972,0.021380,0.036346,-0.020617,-1.768489,37.883659,-5.729319
782,1,-0.151944,0.334397,9.999606,0.021838,0.038637,-0.018173,-1.373867,37.839813,-6.007015
782,2,-0.142971,0.328415,10.015160,0.027336,0.040623,-0.016188,-1.534639,37.693656,-6.533177
828,1,-0.122632,0.320638,10.028320,0.023671,0.040317,-0.016799,-1.695411,37.883659,-6.240865
828,2,-0.142373,0.330808,9.991829,0.021991,0.037568,-0.018784,-1.549255,37.898273,-6.153172
874,1,-0.138784,0.335593,10.028919,0.021991,0.037874,-0.019242,-1.286174,37.854427,-6.357790
874,2,-0.147757,0.326620,10.012767,0.024740,0.038637,-0.016035,-1.739258,38.059047,-6.591639
920,1,-0.151346,0.313460,9.997213,0.018631,0.036499,-0.018021,-1.666180,38.073661,-6.343175
920,2,-0.167498,0.314656,9.997213,0.022449,0.037263,-0.021380,-1.710026,38.132125,-5.919322
966,1,-0.138784,0.339781,10.007383,0.018326,0.036499,-0.018784,-1.593101,37.679039,-5.729319
966,2,-0.149551,0.329611,10.011570,0.018326,0.038790,-0.020006,-1.563870,37.752117,-5.919322
1012,1,-0.148953,0.336192,10.001400,0.023366,0.036957,-0.019548,-1.593101,38.190589,-6.167788
1012,2,-0.289532,0.306281,10.050454,0.022755,0.036499,-0.017410,-1.534639,37.839813,-6.416252
1058,1,-0.147757,0.357129,10.033106,0.024435,0.041539,-0.017562,-1.213096,37.737503,-6.226250
1058,2,-0.122034,0.349352,10.003195,0.022449,0.039248,-0.020006,-1.344636,37.532882,-5.977784
1104,1,-0.162712,0.305085,10.041480,0.027031,0.035888,-0.018631,-1.549255,37.693656,-6.284712
1104,2,-0.129811,0.320040,10.038490,0.021991,0.037568,-0.016035,-1.563870,37.679039,-5.846244
1150,1,-0.150150,0.333799,10.040883,0.022449,0.041233,-0.018631,-0.950015,37.766735,-5.831628
1150,2,-0.136391,0.339781,10.009776,0.020311,0.039401,-0.023671,-1.359252,38.132125,-6.109325
1196,1,-0.135194,0.309272,9.990035,0.021228,0.039095,-0.020769,-1.563870,37.752117,-6.123940
1196,2,-0.145962,0.320040,10.058231,0.021991,0.076358,-0.020006,-1.797720,38.351360,-6.240865
1242,1,-0.122034,0.337388,10.037294,0.020922,0.039554,-0.021228,-1.198480,37.883659,-5.597778
1242,2,-0.147757,0.337986,9.979267,0.025504,0.036194,-0.023824,-1.797720,38.336746,-6.021631
1288,1,-0.149551,0.344567,9.972687,0.021228,0.039554,-0.020159,-1.271558,38.059047,-5.086232
1288,2,-0.111864,0.320040,10.036695,0.018173,0.040928,-0.018937,-1.388483,38.336746,-5.963169
1334,1,-0.129811,0.333201,10.010972,0.018937,0.038026,-0.019700,-1.330020,38.307510,-5.641625
1334,2,-0.140578,0.338584,10.034900,0.027489,0.040470,-0.018784,-1.315405,38.044433,-5.393160
1380,1,-0.141177,0.337388,10.004392,0.024129,0.041233,-0.020617,-1.549255,38.146739,-5.495469
1380,2,-0.136391,0.320638,10.026526,0.020769,0.036499,-0.016952,-1.607717,37.912891,-6.080093
1426,1,-0.109472,0.381057,9.963115,0.016493,0.040164,-0.018326,-1.593101,37.825195,-5.933938
1426,2,-0.146560,0.367298,9.997812,0.007941,0.039859,-0.018631,-1.271558,38.322128,-5.860859
1471,1,-0.023928,0.080160,10.180264,0.038332,0.046273,-0.021533,-1.461561,38.073661,-5.817012
1471,2,-0.092124,0.400200,9.741780,0.049786,0.048564,-0.020311,-1.476176,38.132125,-6.182403
1517,1,-0.103490,0.334397,9.965509,0.031460,0.042302,-0.020159,-1.432330,37.825195,-5.919322
1517,2,-0.135793,0.329013,10.006785,0.033598,0.044135,-0.017410,-1.417714,38.102893,-6.270096
1564,1,-0.143569,0.337388,10.017552,0.027947,0.044593,-0.018326,-1.198480,38.234432,-5.831628
1564,2,-0.136989,0.344567,10.042078,0.024587,0.041997,-0.019853,-1.476176,38.073661,-6.562409
1610,1,-0.126820,0.342772,10.028320,0.023976,0.041386,-0.017715,-1.227711,38.219818,-5.363928
1610,2,-0.101695,0.333201,10.031311,0.023060,0.038637,-0.018021,-1.505408,38.146739,-6.211634
1656,1,-0.129212,0.332602,10.012767,0.023671,0.040164,-0.019242,-1.242327,38.380588,-5.758550
1656,2,-0.123829,0.363709,10.009178,0.022602,0.040775,-0.019853,-1.490792,38.249050,-6.123940
1702,1,-0.125025,0.315853,9.996017,0.024587,0.038790,-0.019242,-1.446945,38.088275,-5.875475
1702,2,-0.139382,0.335593,10.001999,0.022907,0.043371,-0.018784,-1.140017,37.912891,-5.860859
1748,1,-0.122632,0.352941,10.012168,0.027489,0.041386,-0.020311,-1.651564,38.161354,-5.890091
1748,2,-0.148355,0.314656,10.013365,0.019700,0.036805,-0.018021,-1.417714,37.869045,-5.641625
1794,1,-0.112463,0.339781,10.018749,0.022449,0.077885,-0.020311,-1.344636,38.117511,-5.714704
1794,2,-0.156730,0.309272,10.011570,0.022144,0.037110,-0.016799,-1.870798,38.161354,-5.817012
1840,1,-0.136391,0.339781,10.014561,0.022755,0.036652,-0.015424,-1.607717,38.614440,-6.810874
1840,2,-0.116052,0.334995,10.029517,0.019853,0.040623,-0.016799,-1.651564,38.351360,-6.343175
