millis,id,ax,ay,az,gx,gy,gz,mx,my,mz
1,1,-0.096909,0.382852,9.815958,0.025962,0.039248,-0.020159,4.691610,39.199062,1.563870
1,2,-0.128614,0.380459,10.116854,0.023671,0.035888,-0.023671,5.217772,39.125988,1.417714
47,1,-0.131605,0.413958,10.000803,0.023671,0.038026,-0.020311,4.925460,39.184448,1.315405
47,2,-0.117248,0.352343,9.967303,0.023976,0.039401,-0.017715,4.808536,38.775211,1.066940
92,1,-0.097508,0.364905,10.034302,0.021686,0.040164,-0.019548,4.764689,39.564453,2.031570
92,2,-0.116052,0.387637,10.007981,0.018326,0.039859,-0.019090,4.837767,39.213680,1.403099
138,1,-0.113061,0.396012,9.985848,0.026114,0.039706,-0.015730,4.940076,38.760597,1.008477
138,2,-0.127418,0.355334,10.019945,0.026878,0.039095,-0.018021,4.501607,39.067523,1.256942
184,1,-0.108873,0.373879,10.048062,0.023824,0.039859,-0.019242,4.472376,39.038291,2.236188
184,2,-0.126221,0.374477,9.961919,0.022755,0.077427,-0.019548,4.823151,38.994445,1.812336
230,1,-0.121436,0.366700,9.985250,0.023213,0.038790,-0.018631,4.720842,38.848289,1.110786
230,2,-0.102891,0.401396,10.009178,0.023060,0.037415,-0.020769,4.940076,39.374454,1.227711
275,1,-0.114855,0.390628,10.002597,0.028100,0.034361,-0.018937,4.837767,39.184448,1.943876
275,2,-0.147159,0.397209,9.994821,0.029169,0.041386,-0.019395,4.662379,38.965217,1.417714
322,1,-0.139382,0.361316,10.036098,0.022907,0.035430,-0.018326,4.428530,39.228294,1.403099
322,2,-0.113659,0.373879,10.030115,0.027184,0.037721,-0.020311,4.691610,39.447532,1.520023
368,1,-0.096909,0.386441,9.999008,0.021380,0.036041,-0.017562,4.896229,39.447532,0.964630
368,2,-0.125623,0.379262,10.051651,0.028405,0.039401,-0.014966,4.413914,39.432914,0.833090
413,1,-0.139980,0.370289,10.021142,0.021686,0.040470,-0.016952,4.808536,39.272140,1.388483
413,2,-0.101695,0.382852,9.999606,0.026573,0.038332,-0.021228,4.706226,39.111370,1.636948
459,1,-0.108873,0.382852,9.988839,0.019548,0.001069,-0.020769,4.940076,39.242912,1.403099
459,2,-0.130409,0.384646,10.000803,0.026420,0.037110,-0.018937,5.057001,39.301376,1.359252
505,1,-0.113659,0.390628,10.051651,0.023671,0.037568,-0.020769,5.188541,39.169834,1.023093
505,2,-0.129212,0.388834,10.005588,0.024282,0.037874,-0.018784,5.173926,39.579071,1.563870
551,1,-0.093918,0.373879,10.022338,0.024587,0.040623,-0.019242,4.750073,39.184448,0.716165
551,2,-0.121436,0.361914,9.996017,0.019700,0.035736,-0.018937,4.983923,39.564453,1.593101
596,1,-0.122034,0.396012,10.005588,0.020006,0.038485,-0.018326,4.706226,39.345218,0.745396
596,2,-0.135793,0.387637,9.999606,0.023518,0.039095,-0.018937,5.071617,39.301376,0.891552
642,1,-0.138186,0.372682,9.988839,0.019395,0.039554,-0.021380,4.545454,39.213680,0.774627
642,2,-0.116052,0.378066,10.001999,0.018784,0.037721,-0.017868,4.574686,39.447532,0.686934
688,1,-0.108873,0.433101,9.950554,0.029474,0.037415,-0.019853,4.706226,39.505992,0.730780
